sample_id,wr_label,ensemble_majority
S0172,irrelevant,irrelevant
S0173,functional,functional
S0174,visible,visible
S0175,visible,irrelevant
S0176,irrelevant,irrelevant
S0177,visible,visible
S0178,functional,functional
S0179,irrelevant,irrelevant
S0180,functional,functional
S0181,mixed,irrelevant
S0182,irrelevant,irrelevant
S0183,functional,mixed
S0184,functional,functional
S0185,visible,visible
S0186,mixed,mixed
S0187,functional,functional
S0188,visible,visible
S0189,visible,visible
S0190,mixed,mixed
S0191,functional,functional
S0192,visible,mixed
S0193,irrelevant,irrelevant
S0194,visible,visible
S0195,functional,functional
S0196,irrelevant,irrelevant
S0197,irrelevant,irrelevant
S0198,visible,visible
S0199,visible,visible
S0200,irrelevant,irrelevant
S0201,mixed,mixed
S0202,visible,irrelevant
S0203,visible,irrelevant
S0204,functional,functional
S0205,visible,visible
S0206,mixed,mixed
S0207,irrelevant,irrelevant
S0208,irrelevant,irrelevant
S0209,visible,visible
S0210,irrelevant,irrelevant
S0211,visible,visible
S0212,mixed,functional
S0213,functional,functional
S0214,irrelevant,irrelevant
S0215,irrelevant,irrelevant
S0216,mixed,mixed
S0217,irrelevant,irrelevant
S0218,irrelevant,functional
S0219,visible,visible
S0220,mixed,mixed
S0221,irrelevant,irrelevant
S0222,functional,functional
S0223,irrelevant,irrelevant
S0224,mixed,mixed
S0225,functional,functional
S0226,mixed,mixed
S0227,functional,functional
S0228,visible,visible
S0229,irrelevant,irrelevant
S0230,functional,mixed
S0231,mixed,mixed
S0232,irrelevant,irrelevant
S0233,irrelevant,irrelevant
S0234,mixed,mixed
S0235,visible,visible
S0236,visible,visible
S0237,irrelevant,irrelevant
S0238,irrelevant,irrelevant
S0239,irrelevant,irrelevant
S0240,irrelevant,irrelevant
S0241,mixed,mixed
S0242,irrelevant,irrelevant
S0243,irrelevant,irrelevant
S0244,mixed,mixed
S0245,visible,visible
S0246,visible,visible
S0247,visible,mixed
S0248,functional,functional
S0249,functional,functional
S0250,irrelevant,visible
S0251,functional,functional
S0252,visible,irrelevant
S0253,visible,visible
S0254,irrelevant,irrelevant
S0255,functional,irrelevant
S0256,functional,irrelevant
S0257,irrelevant,irrelevant
S0258,irrelevant,functional
S0259,visible,visible
S0260,irrelevant,irrelevant
S0261,irrelevant,irrelevant
S0262,irrelevant,irrelevant
S0263,mixed,mixed
S0264,visible,visible
S0265,functional,functional
S0266,irrelevant,irrelevant
S0267,visible,visible
S0268,visible,irrelevant
S0269,functional,functional
S0270,functional,functional
S0271,visible,irrelevant
S0272,functional,functional
S0273,functional,functional
S0274,functional,functional
S0275,functional,functional
S0276,mixed,functional
S0277,mixed,mixed
S0278,mixed,functional
S0279,visible,visible
S0280,visible,irrelevant
S0281,functional,functional
S0282,functional,functional
S0283,irrelevant,irrelevant
S0284,functional,functional
S0285,irrelevant,irrelevant
S0286,functional,mixed
S0287,irrelevant,irrelevant
S0288,functional,functional
S0289,functional,functional
S0290,irrelevant,irrelevant
S0291,irrelevant,irrelevant
S0292,visible,visible
S0293,visible,visible
S0294,functional,irrelevant
S0295,irrelevant,irrelevant
S0296,visible,visible
S0297,visible,visible
S0298,visible,visible
S0299,visible,visible
S0300,functional,functional
S0301,irrelevant,irrelevant
S0302,functional,functional
S0303,functional,functional
S0304,visible,visible
S0305,functional,irrelevant
S0306,visible,irrelevant
S0307,visible,visible
S0308,visible,visible
S0309,mixed,mixed
S0310,visible,irrelevant
S0311,irrelevant,irrelevant
S0312,visible,visible
S0313,mixed,mixed
S0314,irrelevant,irrelevant
S0315,irrelevant,irrelevant
S0316,irrelevant,irrelevant
S0317,irrelevant,irrelevant
S0318,irrelevant,irrelevant
S0319,visible,visible
S0320,functional,functional
S0321,irrelevant,irrelevant
S0322,functional,mixed
S0323,functional,functional
S0324,irrelevant,irrelevant
S0325,visible,irrelevant
S0326,visible,mixed
S0327,visible,visible
S0328,irrelevant,irrelevant
S0329,functional,mixed
S0330,visible,visible
S0331,visible,mixed
S0332,functional,functional
S0333,functional,functional
S0334,functional,functional
S0335,functional,functional
S0336,functional,functional
S0337,functional,mixed
S0338,visible,visible
S0339,visible,irrelevant
S0340,irrelevant,irrelevant
S0341,mixed,tie
S0342,functional,functional
S0343,mixed,mixed
S0344,mixed,mixed
S0345,irrelevant,irrelevant
S0346,functional,mixed
S0347,visible,visible
S0348,irrelevant,irrelevant
S0349,functional,functional
S0350,visible,visible
S0351,visible,visible
S0352,functional,functional
S0353,visible,visible
S0354,irrelevant,irrelevant
S0355,irrelevant,irrelevant
S0356,irrelevant,functional
S0357,irrelevant,irrelevant
S0358,irrelevant,functional
S0359,visible,visible
S0360,visible,mixed
S0361,irrelevant,irrelevant
S0362,visible,irrelevant
S0363,irrelevant,irrelevant
S0364,irrelevant,irrelevant
S0365,irrelevant,irrelevant
S0366,visible,visible
S0367,visible,visible
S0368,functional,functional
S0369,functional,functional
S0370,functional,functional
S0371,visible,irrelevant
S0372,visible,irrelevant
S0373,visible,visible
S0374,visible,visible
S0375,irrelevant,irrelevant
S0376,irrelevant,irrelevant
S0377,functional,functional
S0378,visible,visible
S0379,functional,functional
S0380,functional,functional
S0381,visible,visible
S0382,visible,visible
S0383,functional,irrelevant
S0384,functional,functional
S0385,functional,functional
S0386,irrelevant,irrelevant
S0387,visible,visible
S0388,visible,irrelevant
S0389,functional,functional
S0390,irrelevant,irrelevant
S0391,mixed,mixed
S0392,irrelevant,irrelevant
S0393,irrelevant,irrelevant
S0394,functional,functional
S0395,visible,visible
S0396,functional,functional
S0397,functional,functional
S0398,irrelevant,irrelevant
S0399,irrelevant,functional
S0400,irrelevant,irrelevant
S0401,visible,visible
S0402,mixed,functional
S0403,visible,visible
S0404,visible,visible
S0405,functional,functional
S0406,irrelevant,irrelevant
S0407,functional,functional
S0408,mixed,mixed
S0409,visible,irrelevant
S0410,functional,functional
S0411,irrelevant,irrelevant
S0412,functional,functional
S0413,irrelevant,irrelevant
S0414,irrelevant,irrelevant
S0415,functional,mixed
S0416,functional,functional
S0417,irrelevant,visible
S0418,functional,functional
S0419,visible,visible
S0420,irrelevant,irrelevant
S0421,visible,visible
S0422,visible,visible
S0423,functional,functional
S0424,functional,functional
S0425,mixed,functional
S0426,irrelevant,irrelevant
S0427,functional,functional
S0428,mixed,mixed
S0429,mixed,mixed
S0430,functional,functional
S0431,irrelevant,irrelevant
S0432,functional,functional
S0433,irrelevant,visible
S0434,irrelevant,irrelevant
S0435,visible,irrelevant
S0436,irrelevant,irrelevant
S0437,functional,functional
S0438,irrelevant,irrelevant
S0439,visible,visible
S0440,visible,visible
S0441,functional,functional
S0442,functional,functional
S0443,irrelevant,irrelevant
S0444,visible,visible
S0445,visible,visible
S0446,functional,functional
S0447,functional,functional
S0448,mixed,mixed
S0449,visible,visible
S0450,visible,mixed
S0451,visible,visible
S0452,irrelevant,irrelevant
S0453,irrelevant,irrelevant
S0454,irrelevant,irrelevant
S0455,functional,functional
S0456,mixed,mixed
S0457,irrelevant,irrelevant
S0458,functional,mixed
S0459,visible,visible
S0460,visible,visible
S0461,irrelevant,irrelevant
S0462,irrelevant,irrelevant
S0463,visible,visible
S0464,visible,visible
S0465,mixed,mixed
S0466,visible,visible
S0467,irrelevant,irrelevant
S0468,functional,functional
S0469,functional,functional
S0470,irrelevant,irrelevant
S0471,mixed,mixed
S0472,mixed,mixed
S0473,visible,visible
S0474,functional,functional
S0475,irrelevant,irrelevant
S0476,functional,functional
S0477,functional,functional
S0478,irrelevant,irrelevant
S0479,functional,functional
S0480,visible,visible
S0481,irrelevant,irrelevant
S0482,functional,functional
S0483,irrelevant,irrelevant
S0484,functional,functional
S0485,functional,functional
S0486,irrelevant,irrelevant
S0487,irrelevant,irrelevant
S0488,visible,visible
S0489,irrelevant,irrelevant
S0490,mixed,mixed
S0491,functional,functional
S0492,functional,irrelevant
S0493,functional,functional
S0494,functional,irrelevant
S0495,functional,functional
S0496,irrelevant,irrelevant
S0497,irrelevant,irrelevant
S0498,visible,visible
S0499,visible,visible
S0500,visible,visible
